Rank,Code,Company,Price,Change,% Chg,Mkt Cap,1 Year
419,AD8,Audinate Group Ltd,$5.26,-0.22,-4.02%,$357.37 M,-36.47%
"1,087",ADA,Adacel Technologies Ltd,$0.56,0.005,0.90%,$42.80 M,30.23%
"2,035",ADD,Adavale Resources Ltd,$0.02,-0.003,-14.29%,$3.08 M,100.00%
417,ADH,Adairs Ltd,$2.14,-0.09,-4.04%,$361.83 M,38.96%
363,ADI,Apn Industria REIT,$2.36,-0.05,-2.08%,$466.24 M,-20.00%
852,ADN,Andromeda Metals Ltd,$0.05,-0.001,-1.96%,$76.72 M,212.50%
"1,165",ADO,Anteotech Ltd,$0.02,0,0.00%,$36.17 M,49.78%
"1,535",ADR,Adherium Ltd,$0.03,-0.001,-3.85%,$15.05 M,-10.71%
"1,156",ADS,Adslot Ltd,$0.02,0.001,5.26%,$36.88 M,-39.39%
447,ADT,Adriatic Metals Plc,$1.82,-0.015,-0.82%,$321.04 M,58.95%
"1,221",ADV,Ardiden Ltd,$0.02,-0.001,-5.26%,$32.19 M,500.00%
"1,628",ADX,ADX Energy Ltd,$0.01,0.001,16.67%,$12.00 M,-12.50%
"1,816",ADY,Admiralty Resources NL,$0.01,0,0.00%,$6.95 M,-45.46%
"1,732",AEB,Affinity Energy and Health Ltd,$0.01,0,0.00%,$8.77 M,0.00%
"1,675",AEE,Aura Energy Ltd,$0.00,0,0.00%,$10.23 M,-63.64%
289,AEF,Australian Ethical Investment Ltd,$6.48,-0.22,-3.28%,$728.27 M,256.04%
750,AEG,Absolute Equity Performance Fund Ltd,$1.14,0.015,1.33%,$105.05 M,24.59%
597,AEI,Aeris Environmental Ltd,$0.68,-0.02,-2.88%,$163.72 M,98.53%
"1,833",AER,Aeeris Ltd,$0.11,0,0.00%,$6.60 M,-18.52%
"1,904",AEV,Avenira Ltd,$0.01,0,0.00%,$5.29 M,100.00%
878,AFA,Asf Group Ltd,$0.09,0,0.00%,$71.36 M,-10.00%
376,AFG,Australian Finance Group Ltd,$1.62,-0.02,-1.22%,$433.74 M,-5.44%
59,AFI,Australian Foundation Investment Company Ltd,$6.07,0.02,0.33%,$7.35 B,-3.50%
"1,642",AFL,Af Legal Group Ltd,$0.19,-0.01,-5.00%,$11.42 M,-7.32%
394,AFP,Aft Pharmaceuticals Ltd,$3.87,0.07,1.84%,$401.30 M,29.00%
"1,564",AFR,African Energy Resources Ltd,$0.02,-0.002,-8.33%,$13.71 M,46.67%
"1,725",AFT,AFT Corporation Ltd,$0.00,0,0.00%,$9.02 M,0.00%
804,AGD,Austral Gold Ltd,$0.16,0,0.00%,$89.50 M,146.14%
"1,804",AGE,Alligator Energy Ltd,$0.01,0,0.00%,$7.19 M,66.67%
267,AGG,Anglogold Ashanti Ltd,$9.18,0.03,0.33%,$818.93 M,71.91%
948,AGH,Althea Group Holdings Ltd,$0.37,-0.035,-8.75%,$59.03 M,-65.57%
633,AGI,Ainsworth Game Technology Ltd,$0.44,0.005,1.15%,$148.19 M,-35.77%
"2,044",AGJ,Agricultural Land Trust,$0.03,0,0.00%,$2.93 M,-30.23%
41,AGL,AGL Energy Ltd,$16.89,-0.08,-0.47%,$10.52 B,-17.65%
"1,261",AGM,Australian Governance & Ethical INDEX Fund,$1.63,0,0.00%,$29.48 M,-15.98%
"1,658",AGR,Aguia Resources Ltd,$0.04,-0.001,-2.50%,$10.82 M,-75.89%
"1,233",AGS,Alliance Resources Ltd,$0.18,-0.005,-2.78%,$31.20 M,107.12%
"1,612",AGVT,Betashares Australian Government Bond ETF,$52.09,0,0.00%,$12.50 M,4.33%
"1,349",AGX1,Antipodes Global Shares (Quoted Managed Fund),$5.10,0,0.00%,$23.42 M,-3.04%
987,AGY,Argosy Minerals Ltd,$0.05,-0.002,-3.64%,$54.03 M,-28.38%
"1,315",AHF,Australian Dairy Nutritionals Group,$0.07,-0.002,-2.86%,$25.26 M,-53.10%
"2,119",AHK,Ark Mines Ltd,$0.03,0,0.00%,$1.78 M,161.54%
"1,716",AHL,Ahalife Holdings Ltd,$0.01,0,0.00%,$9.31 M,0.00%
"1,861",AHN,Athena Resources Ltd,$0.02,0,0.00%,$6.01 M,-20.00%
"1,116",AHQ,Allegiance Coal Ltd,$0.07,-0.004,-5.80%,$39.93 M,-9.72%
982,AHX,Apiam Animal Health Ltd,$0.47,-0.005,-1.05%,$54.80 M,8.05%
339,AHY,Asaleo Care Ltd,$1.02,0,0.00%,$553.99 M,8.51%
48,AIA,Auckland International Airport Ltd,$5.82,-0.06,-1.02%,$8.57 B,-35.62%
"2,182",AIB,Aurora Global Income Trust,$0.05,0,0.00%,$362.27 TH,-44.09%
"1,248",AIQ,Alternative Investment Trust,$0.11,0,0.00%,$30.45 M,15.79%
"1,586",AIR,Astivita Ltd,$0.70,0,0.00%,$13.31 M,-36.36%
827,AIS,Aeris Resources Ltd,$0.04,0.001,2.33%,$82.42 M,-15.15%
"1,355",AIV,Activex Ltd,$0.13,0,0.00%,$23.04 M,-31.58%
"1,607",AIY,Authorised Investment Fund Ltd,$0.03,0,0.00%,$12.66 M,3.45%
195,AIZ,Air New Zealand Ltd,$1.26,-0.035,-2.71%,$1.41 B,-50.98%
"1,977",AJC,Acacia Coal Ltd,$0.00,0,0.00%,$4.07 M,0.00%
"1,752",AJJ,Asian American Medical Group Ltd,$0.02,0,0.00%,$8.35 M,-80.00%
"1,072",AJL,AJ Lucas Group Ltd,$0.04,0.003,8.82%,$44.26 M,-46.27%
568,AJM,Altura Mining Ltd,$0.06,0,0.00%,$185.15 M,-43.64%
"1,526",AJQ,Armour Energy Ltd,$0.02,0,0.00%,$15.59 M,-70.10%
"1,179",AJX,Alexium International Group Ltd,$0.06,0.003,5.77%,$34.90 M,-66.89%
"1,497",AJY,Asaplus Resources Ltd,$0.12,0,0.00%,$16.32 M,0.00%
"1,225",AKG,Academies Australasia Group Ltd,$0.25,0,0.00%,$31.90 M,-41.86%
"1,082",AKM,Aspire Mining Ltd,$0.09,0,0.00%,$43.15 M,-39.29%
"2,116",AKN,Auking Mining Ltd,$0.00,0,0.00%,$1.87 M,0.00%
336,AKP,Audio Pixels Holdings Ltd,$19.88,0.77,4.03%,$562.64 M,19.83%
"1,521",AL3,AML3D Ltd,$0.20,-0.005,-2.44%,$15.71 M,33.33%
"1,218",AL8,Alderan Resources Ltd,$0.13,-0.005,-3.85%,$32.43 M,212.50%
630,ALC,Alcidion Group Ltd,$0.15,0,0.00%,$148.60 M,-16.67%
62,ALD,Ampol Ltd,$28.10,0.18,0.65%,$7.02 B,8.45%
588,ALF,Australian Leaders Fund Ltd,$0.87,-0.005,-0.58%,$169.35 M,-5.98%
575,ALG,Ardent Leisure Group Ltd,$0.37,-0.005,-1.33%,$177.49 M,-67.26%
463,ALI,Argo Global Listed Infrastructure Ltd,$2.08,0.02,0.97%,$295.26 M,-8.23%
305,ALK,Alkane Resources Ltd,$1.19,-0.065,-5.18%,$690.24 M,187.03%
23,ALL,Aristocrat Leisure Ltd,$24.18,-0.62,-2.50%,$15.44 B,-19.29%
107,ALQ,Als Ltd,$6.78,-0.1,-1.45%,$3.27 B,-9.72%
"1,666",ALT,Analytica Ltd,$0.00,0,0.00%,$10.56 M,-40.00%
91,ALU,Altium Ltd,$33.90,-0.55,-1.60%,$4.44 B,-7.78%
69,ALX,Atlas Arteria,$6.50,-0.09,-1.37%,$6.23 B,-16.21%
"1,606",ALY,Alchemy Resources Ltd,$0.02,0.002,9.52%,$12.66 M,84.30%
387,AMA,AMA Group Ltd,$0.56,-0.02,-3.45%,$410.99 M,-59.02%
"2,143",AMB,Ambition Group Ltd,$0.02,0,0.00%,$1.35 M,-78.95%
27,AMC,Amcor Plc,$14.87,0.04,0.27%,$13.90 B,-4.80%
"1,592",AMD,Arrow Minerals Ltd,$0.01,0.001,10.00%,$13.20 M,10.00%
"1,374",AME,Alto Metals Ltd,$0.08,0.006,8.70%,$22.00 M,114.29%
"1,513",AMG,Ausmex Mining Group Ltd,$0.03,-0.001,-3.33%,$15.88 M,-75.83%
486,AMH,Amcil Ltd,$0.95,-0.005,-0.53%,$263.21 M,5.59%
360,AMI,Aurelia Metals Ltd,$0.55,-0.015,-2.66%,$480.69 M,19.57%
940,AML,Aeon Metals Ltd,$0.09,0,0.00%,$59.63 M,-58.10%
757,AMN,Agrimin Ltd,$0.52,0,0.00%,$102.28 M,-25.00%
"1,924",AMO,Ambertech Ltd,$0.07,0,0.00%,$4.97 M,-40.91%
77,AMP,AMP Ltd,$1.72,-0.04,-2.28%,$5.89 B,-19.86%
780,AMS,Atomos Ltd,$0.44,-0.01,-2.22%,$95.84 M,-67.41%
"1,319",AMT,Allegra Orthopaedics Ltd,$0.24,-0.02,-7.69%,$25.05 M,118.18%
660,AMX,Aerometrex Ltd,$1.41,-0.025,-1.74%,$133.10 M,-23.16%
"1,786",ANA,Ansila Energy NL,$0.02,0.001,7.14%,$7.63 M,-25.00%
889,ANG,Austin Engineering Ltd,$0.12,-0.005,-4.00%,$69.48 M,-36.84%
"1,778",ANL,Amani Gold Ltd,$0.00,0,0.00%,$7.84 M,-50.00%
86,ANN,Ansell Ltd,$37.49,0.64,1.74%,$4.82 B,38.85%
494,ANO,Advance Nanotek Ltd,$4.13,0.02,0.49%,$246.22 M,-16.27%
"1,040",ANP,Antisense Therapeutics Ltd,$0.10,-0.013,-11.82%,$47.41 M,125.58%
"1,825",ANR,Anatara Lifesciences Ltd,$0.14,0,0.00%,$6.73 M,-50.00%
783,ANS,Austsino Resources Group Ltd,$0.02,0,0.00%,$94.74 M,0.00%
"2,048",ANW,Aus Tin Mining Ltd,$0.00,0,0.00%,$2.89 M,-88.89%
6,ANZ,Australia and New Zealand Banking Group Ltd,$18.30,-0.19,-1.03%,$51.90 B,-33.02%
"2,017",AO1,Assetowl Ltd,$0.01,0,0.00%,$3.43 M,5.76%
"2,039",AOA,Ausmon Resources Ltd,$0.01,0,0.00%,$3.06 M,25.00%
435,AOF,Australian Unity Office Fund,$2.04,0.05,2.51%,$332.18 M,-31.54%
"1,733",AON,Apollo Minerals Ltd,$0.03,0,0.00%,$8.74 M,-20.21%
771,AOP,Apollo Consolidated Ltd,$0.37,-0.015,-3.90%,$99.57 M,60.87%
"1,700",AOU,Auroch Minerals Ltd,$0.05,0.001,1.96%,$9.81 M,-23.53%
32,APA,APA Group,$10.85,-0.11,-1.00%,$12.80 B,-1.45%
"1,147",APC,Australian Potash Ltd,$0.08,-0.007,-8.24%,$37.95 M,-16.95%
587,APD,Apn Property Group,$0.53,0.005,0.95%,$169.62 M,1.92%
179,APE,AP Eagers Ltd,$6.11,-0.23,-3.63%,$1.57 B,-37.97%
"2,051",APG,Austpac Resources NL,$0.00,0,0.00%,$2.83 M,0.00%
"1,914",APH,Australian Primary Hemp Ltd,$0.11,0,0.00%,$5.17 M,854.55%
342,API,Australian Pharmaceutical Industries Ltd,$1.12,0,0.00%,$549.31 M,-19.50%
362,APL,Antipodes Global Investment Company Ltd,$0.95,0,0.00%,$470.98 M,0.00%
18,APT,Afterpay Ltd,$72.31,-1.19,-1.62%,$19.38 B,183.68%
"1,719",APV,Appsvillage Australia Ltd,$0.16,0,0.00%,$9.18 M,-25.58%
970,APW,Aims Property Securities Fund,$1.26,0,0.00%,$55.98 M,-13.45%
93,APX,Appen Ltd,$36.41,-0.04,-0.11%,$4.43 B,19.57%
702,APZ,Aspen Group,$1.03,0,0.00%,$119.83 M,-5.51%
"1,835",AQC,Australian Pacific Coal Ltd,$0.13,0.015,13.04%,$6.56 M,-72.92%
"1,680",AQD,Ausquest Ltd,$0.02,-0.001,-6.25%,$10.16 M,0.00%
346,AQG,Alacer Gold Corp,$10.27,-0.33,-3.11%,$535.92 M,107.48%
"1,509",AQI,Alicanto Minerals Ltd,$0.06,-0.001,-1.56%,$15.96 M,28.57%
404,AQR,Apn Convenience Retail REIT,$3.53,0,0.00%,$387.19 M,5.69%
"2,177",AQS,AQUIS Entertainment Ltd,$0.01,0,0.00%,$500.07 TH,-48.15%
"1,202",AQX,Alice QUEEN Ltd,$0.04,0.002,5.88%,$33.54 M,227.27%
370,AQZ,Alliance Aviation Services Ltd,$2.86,-0.02,-0.69%,$453.63 M,5.15%
"1,331",AR9,Archtis Ltd,$0.18,0.02,12.50%,$24.45 M,80.00%
811,ARA,Ariadne Australia Ltd,$0.44,0.005,1.15%,$86.35 M,-30.16%
188,ARB,ARB Corporation Ltd,$18.43,0.16,0.88%,$1.47 B,-0.65%
"1,989",ARC,Australian Rural Capital Ltd,$0.29,0,0.00%,$3.75 M,-19.44%
"1,325",ARD,Argent Minerals Ltd,$0.03,-0.003,-8.11%,$24.77 M,209.09%
"1,520",ARE,Argonaut Resources NL,$0.01,0,0.00%,$15.73 M,60.00%
281,ARF,Arena REIT,$2.23,-0.01,-0.45%,$754.96 M,-20.36%
81,ARG,Argo Investments Ltd,$7.23,0.02,0.28%,$5.21 B,-11.40%
"1,204",ARL,Ardea Resources Ltd,$0.29,0.015,5.56%,$33.43 M,-10.98%
"1,926",ARM,Aurora Minerals Ltd,$0.02,0,0.00%,$4.92 M,61.54%
"1,933",ARN,Aldoro Resources Ltd,$0.10,-0.009,-8.57%,$4.79 M,-23.20%
"2,074",ARO,Astro Resources NL,$0.00,0,0.00%,$2.54 M,0.00%
"1,925",ARR,American Rare EARTHS Ltd,$0.02,0,0.00%,$4.95 M,26.35%
"1,270",ARS,Alt Resources Ltd,$0.05,0,0.00%,$28.58 M,123.81%
901,ARU,Arafura Resources Ltd,$0.06,0,0.00%,$66.56 M,-36.67%
825,ARV,Artemis Resources Ltd,$0.08,0.01,14.29%,$82.71 M,166.67%
"1,451",AS1,Angel Seafood Holdings Ltd,$0.14,0.01,7.69%,$18.48 M,-22.22%
219,ASB,Austal Ltd,$3.28,0.03,0.92%,$1.17 B,-7.35%
493,ASG,Autosports Group Ltd,$1.25,-0.01,-0.80%,$250.25 M,3.75%
"1,153",ASH,Ashley Services Group Ltd,$0.26,0.01,4.00%,$37.43 M,-5.46%
643,ASIA,Betashares Asia Technology Tigers ETF,$9.47,-0.01,-0.11%,$142.09 M,59.43%
"1,533",ASN,Anson Resources Ltd,$0.02,0,0.00%,$15.24 M,-51.06%
"1,418",ASP,Aspermont Ltd,$0.01,0.001,12.50%,$20.08 M,-16.95%
"1,742",ASQ,Australian Silica Quartz Group Ltd,$0.04,0,0.00%,$8.58 M,5.26%
68,AST,Ausnet Services Ltd,$1.68,0,0.00%,$6.31 B,-12.27%
"1,253",ASW,Advanced Share Registry Ltd,$0.70,0.065,10.24%,$30.08 M,0.00%
21,ASX,ASX Ltd,$84.80,0.15,0.18%,$16.42 B,-2.73%
653,AT1,Atomo Diagnostics Ltd,$0.34,0,0.00%,$137.62 M,-12.82%
"1,183",ATC,Altech Chemicals Ltd,$0.04,0,0.00%,$34.82 M,-59.60%
"1,617",ATEC,Betashares S&P/ASX Australian Technology ETF,$18.08,0,0.00%,$12.20 M,23.50%
"1,146",ATH,Alterity Therapeutics Ltd,$0.04,-0.003,-7.90%,$37.98 M,25.00%
"1,039",ATL,Apollo Tourism & Leisure Ltd,$0.26,0,0.00%,$47.47 M,-41.38%
"2,146",ATM,Aneka Tambang (Persero) TBK (PT),$1.00,0,0.00%,$1.30 M,-0.99%
"2,096",ATP,Atlas Pearls Ltd,$0.01,0,0.00%,$2.14 M,-50.00%
"1,413",ATR,Astron Corporation Ltd,$0.17,0,0.00%,$20.21 M,-8.33%
"1,295",ATS,Australis Oil & Gas Ltd,$0.03,0,0.00%,$26.62 M,-89.20%
627,ATU,Atrum Coal Ltd,$0.27,0,0.00%,$152.06 M,-17.19%
"1,815",ATX,Amplia Therapeutics Ltd,$0.11,0,0.00%,$6.98 M,23.38%
"1,643",AU1,The Agency Group Australia Ltd,$0.04,0.002,5.56%,$11.36 M,-53.66%
"1,486",AU8,Aumake International Ltd,$0.06,0,0.00%,$16.64 M,-59.26%
225,AUB,AUB Group Ltd,$14.65,0.31,2.16%,$1.08 B,30.57%
"1,027",AUC,Ausgold Ltd,$0.04,-0.002,-4.35%,$48.67 M,214.29%
"1,759",AUDS,Betashares Strong Australian Dollar Fund (Hedge Fund),$9.13,-0.13,-1.40%,$8.22 M,-23.66%
"1,927",AUH,Austchina Holdings Ltd,$0.00,0,0.00%,$4.90 M,0.00%
235,AUI,Australian United Investment Company Ltd,$8.24,0.02,0.24%,$1.03 B,-12.34%
"1,755",AUL,Austar Gold Ltd,$0.25,-0.025,-9.26%,$8.31 M,8066.67%
"1,452",AUMF,Ishares Edge MSCI Australia Multifactor ETF,$26.90,-0.31,-1.14%,$18.47 M,-10.33%
"1,859",AUP,Aurora Property Buy-Write Income Trust,$2.99,0,0.00%,$6.06 M,65.19%
"1,787",AUQ,Alara Resources Ltd,$0.01,0,0.00%,$7.62 M,-50.00%
"1,392",AUR,Auris Minerals Ltd,$0.05,0,0.00%,$21.25 M,246.67%
"1,062",AUST,Betashares Managed Risk Australian Share Fund (Managed Fund),$15.31,-0.07,-0.46%,$44.90 M,-11.09%
513,AUT,Auteco Minerals Ltd,$0.18,-0.01,-5.41%,$233.76 M,3400.00%
"1,214",AUZ,Australian Mines Ltd,$0.01,0,0.00%,$32.63 M,-55.00%
"1,265",AV1,Adveritas Ltd,$0.09,0.002,2.25%,$29.16 M,-13.33%
"1,160",AVA,AVA Risk Group Ltd,$0.16,0.01,6.90%,$36.48 M,3.33%
"1,610",AVC,Auctus Investment Group Ltd,$0.27,0,0.00%,$12.54 M,-15.63%
"1,602",AVE,Avecho Biotechnology Ltd,$0.01,0,0.00%,$12.78 M,166.67%
709,AVG,Australian Vintage Ltd,$0.42,0.015,3.70%,$117.90 M,-14.29%
326,AVH,"Avita Therapeutics, Inc",$7.88,-0.64,-7.51%,$602.77 M,-8.37%
544,AVJ,Avjennings Ltd,$0.51,-0.02,-3.81%,$205.15 M,-17.89%
"1,272",AVL,Australian Vanadium Ltd,$0.01,0,0.00%,$28.23 M,-26.67%
216,AVN,Aventus Group,$2.13,0.02,0.95%,$1.19 B,-11.25%
"1,576",AVQ,Axiom Mining Ltd,$0.03,0,0.00%,$13.48 M,0.00%
"1,245",AVR,Anteris Technologies Ltd,$5.18,-0.12,-2.26%,$30.62 M,-13.67%
"1,821",AVW,Avira Resources Ltd,$0.01,0,0.00%,$6.88 M,66.67%
615,AVZ,AVZ Minerals Ltd,$0.06,0.002,3.77%,$156.12 M,5.77%
88,AWC,Alumina Ltd,$1.60,-0.01,-0.62%,$4.59 B,-30.65%
"1,560",AWN,AWN Holdings Ltd,$0.35,0,0.00%,$13.84 M,-37.50%
"1,154",AWV,Anova Metals Ltd,$0.03,0,0.00%,$37.41 M,177.68%
301,AX1,Accent Group Ltd,$1.29,-0.04,-3.02%,$696.68 M,-17.63%
"2,033",AX8,Accelerate Resources Ltd,$0.04,0,0.00%,$3.17 M,50.47%
758,AXE,Archer Materials Ltd,$0.46,-0.02,-4.21%,$102.08 M,333.33%
"1,476",AXI,Axiom Properties Ltd,$0.04,0,0.00%,$17.31 M,-4.76%
"2,060",AXT,Argo Exploration Ltd,$0.01,0,0.00%,$2.73 M,16.67%
"1,461",AYF,Australian Enhanced Income Fund,$5.44,-0.04,-0.73%,$17.98 M,-9.33%
"1,246",AYI,A1 Investments & Resources Ltd,$0.00,0,0.00%,$30.61 M,0.00%
"1,797",AYM,Australia United Mining Ltd,$0.00,0,0.00%,$7.37 M,100.00%
"1,685",AYR,Alloy Resources Ltd,$0.03,-0.004,-11.77%,$10.06 M,50.00%
594,AYS,Amaysim Australia Ltd,$0.57,-0.035,-5.83%,$166.74 M,-23.13%
"1,562",AZI,Alta ZINC Ltd,$0.01,-0.001,-16.67%,$13.76 M,66.67%
47,AZJ,Aurizon Holdings Ltd,$4.73,-0.04,-0.84%,$9.06 B,-15.08%
"1,410",AZS,AZURE Minerals Ltd,$0.13,0,0.00%,$20.27 M,28.87%
"1,396",AZV,AZURE Healthcare Ltd,$0.07,0,0.00%,$21.03 M,-5.74%
891,AZY,Antipa Minerals Ltd,$0.03,0.001,3.45%,$69.23 M,87.50%
"1,708",B2Y,Bounty Mining Ltd,$0.03,0,0.00%,$9.54 M,-68.48%
645,BAF,Blue Sky Alternatives Access Fund Ltd,$0.73,-0.005,-0.69%,$141.57 M,-2.69%
159,BAP,Bapcor Ltd,$5.59,-0.19,-3.29%,$1.90 B,-8.66%
"1,630",BAR,Barra Resources Ltd,$0.02,0,0.00%,$11.93 M,-9.09%
"2,023",BAS,Bass Oil Ltd,$0.00,0,0.00%,$3.34 M,0.00%
"1,516",BAT,Battery Minerals Ltd,$0.01,0,0.00%,$15.82 M,-14.29%
964,BBC,BNK Banking Corporation Ltd,$0.60,0.03,5.26%,$56.56 M,-3.23%
"1,127",BBL,Brisbane Broncos Ltd,$0.40,-0.015,-3.61%,$39.22 M,-2.44%
390,BBN,Baby Bunting Group Ltd,$3.20,-0.04,-1.24%,$408.21 M,36.75%
416,BBOZ,Betashares Australian Strong Bear (Hedge Fund),$8.73,0.15,1.75%,$362.73 M,-14.16%
476,BBUS,Betashares US Equities Strong Bear Currency Hedged (HF),$2.59,0.08,3.19%,$270.98 M,-28.85%
834,BBX,BBX Minerals Ltd,$0.20,0.01,5.41%,$81.38 M,-11.36%
844,BC8,Black Cat Syndicate Ltd,$0.89,-0.03,-3.28%,$77.91 M,145.83%
"1,074",BCB,Bowen Coking Coal Ltd,$0.05,-0.002,-3.70%,$44.14 M,23.81%
"1,760",BCC,Beam Communications Holdings Ltd,$0.16,0,0.00%,$8.20 M,-40.39%
907,BCI,BCI Minerals Ltd,$0.17,0,0.00%,$65.82 M,-15.39%
554,BCK,Brockman Mining Ltd,$0.02,-0.001,-4.55%,$194.86 M,-30.00%
720,BCN,Beacon Minerals Ltd,$0.04,-0.001,-2.44%,$114.50 M,33.33%
"1,197",BCT,Bluechiip Ltd,$0.06,0,0.00%,$33.80 M,-36.67%
"1,120",BD1,BARD1 Life Sciences Ltd,$0.03,0,0.00%,$39.65 M,16.00%
"1,339",BDA,Bod Australia Ltd,$0.27,-0.01,-3.64%,$24.21 M,-15.87%
696,BDC,Bardoc Gold Ltd,$0.09,-0.002,-2.25%,$121.43 M,67.31%
"1,788",BDG,Black Dragon Gold Corp,$0.07,0,0.00%,$7.61 M,-15.00%
"1,851",BDI,Blina Minerals NL,$0.00,0,0.00%,$6.27 M,0.00%
739,BEAR,Betashares Australian Equities Bear (Hedge Fund),$12.10,0.1,0.83%,$108.24 M,0.67%
"1,574",BEE,Broo Ltd,$0.02,0,0.00%,$13.49 M,0.00%
"2,018",BEL,Bentley Capital Ltd,$0.05,0.003,7.14%,$3.43 M,-40.79%
"1,943",BEM,Blackearth Minerals NL,$0.04,0,0.00%,$4.55 M,-34.43%
103,BEN,Bendigo and Adelaide Bank Ltd,$6.86,-0.04,-0.58%,$3.64 B,-40.09%
